depth[mm]	HF [V]	NF [V]	TGC [dB]
23,4	0,002	-0,001	0,000
23,5	0,001	-0,001	0,017
23,6	0,001	-0,001	0,000
23,8	0,001	0,000	0,000
23,9	0,003	0,002	0,000
24,0	0,004	0,004	0,000
24,2	0,005	0,001	0,000
24,3	0,004	-0,002	0,017
24,5	0,003	-0,003	0,000
24,6	0,002	-0,001	0,000
24,7	0,003	0,001	0,000
24,9	0,004	-0,002	0,017
25,0	0,006	-0,006	0,000
25,2	0,007	-0,007	0,000
25,3	0,007	-0,002	0,000
25,4	0,005	0,003	0,035
25,6	0,003	0,004	0,000
25,7	0,002	0,000	0,000
25,9	0,001	-0,001	0,000
26,0	0,002	0,001	0,035
26,1	0,003	0,002	0,000
26,3	0,005	0,000	0,000
26,4	0,006	-0,005	0,000
26,5	0,007	-0,007	0,052
26,7	0,007	-0,006	0,000
26,8	0,006	-0,002	0,017
27,0	0,005	0,001	0,000
27,1	0,005	0,002	0,000
27,2	0,005	0,004	0,000
27,4	0,006	0,006	0,035
27,5	0,006	0,006	0,000
27,7	0,006	0,003	0,017
27,8	0,004	0,000	0,000
27,9	0,003	-0,001	0,000
28,1	0,002	0,000	0,000
28,2	0,001	0,000	0,000
28,4	0,002	0,000	0,000
28,5	0,002	0,000	0,017
28,6	0,002	0,000	0,017
28,8	0,002	0,000	0,087
28,9	0,001	0,000	0,000
29,1	0,002	0,000	0,000
29,2	0,003	0,001	0,000
29,3	0,004	0,000	0,017
29,5	0,004	-0,003	0,962
29,6	0,005	-0,004	3,465
29,7	0,004	-0,004	5,529
29,9	0,004	-0,002	6,964
30,0	0,003	-0,001	7,769
30,2	0,003	0,001	8,276
30,3	0,004	0,003	8,504
30,4	0,006	0,005	8,731
30,6	0,008	0,008	8,819
30,7	0,009	0,008	8,854
30,9	0,011	0,006	8,959
31,0	0,011	0,002	8,976
31,1	0,011	-0,002	8,976
31,3	0,010	-0,005	8,976
31,4	0,010	-0,007	8,976
31,6	0,011	-0,009	8,994
31,7	0,011	-0,011	8,976
31,8	0,011	-0,011	8,994
32,0	0,011	-0,008	9,029
32,1	0,010	-0,003	9,081
32,2	0,009	0,003	9,064
32,4	0,009	0,007	9,116
32,5	0,009	0,009	9,064
32,7	0,010	0,008	9,134
32,8	0,009	0,003	9,116
32,9	0,007	-0,003	9,134
33,1	0,005	-0,005	9,116
33,2	0,004	-0,001	9,134
33,4	0,005	0,004	9,134
33,5	0,008	0,005	9,134
33,6	0,012	-0,002	9,134
33,8	0,014	-0,011	9,134
33,9	0,014	-0,014	9,134
34,1	0,012	-0,010	9,134
34,2	0,009	-0,004	9,134
34,3	0,006	0,000	9,134
34,5	0,005	0,001	9,134
34,6	0,006	0,003	9,134
34,8	0,008	0,007	9,134
34,9	0,010	0,010	9,134
35,0	0,012	0,008	9,134
35,2	0,013	0,001	9,134
35,3	0,014	-0,006	9,134
35,4	0,014	-0,011	9,134
35,6	0,013	-0,012	9,134
35,7	0,011	-0,011	9,134
35,9	0,010	-0,009	9,134
36,0	0,010	-0,008	9,134
36,1	0,010	-0,007	9,134
36,3	0,011	-0,004	9,134
36,4	0,012	0,001	9,134
36,6	0,013	0,007	9,239
36,7	0,012	0,011	9,169
36,8	0,011	0,011	9,239
37,0	0,010	0,009	9,151
37,1	0,010	0,006	9,256
37,3	0,011	0,003	9,204
37,4	0,011	-0,002	9,274
37,5	0,010	-0,007	9,239
37,7	0,008	-0,008	9,274
37,8	0,005	-0,006	9,274
37,9	0,003	-0,001	9,274
38,1	0,003	0,000	9,274
38,2	0,004	-0,003	9,291
38,4	0,007	-0,007	9,291
38,5	0,009	-0,008	9,291
38,6	0,009	-0,006	9,291
38,8	0,007	-0,002	9,291
38,9	0,005	0,001	9,291
39,1	0,003	0,002	9,291
39,2	0,002	0,001	9,291
39,3	0,002	0,000	9,291
39,5	0,004	-0,001	9,291
39,6	0,006	0,002	9,291
39,8	0,009	0,008	9,291
39,9	0,012	0,012	9,291
40,0	0,014	0,009	9,291
40,2	0,014	0,001	9,291
40,3	0,012	-0,007	9,291
40,4	0,009	-0,009	9,291
40,6	0,006	-0,006	9,291
40,7	0,004	-0,003	9,309
40,9	0,004	-0,004	9,291
41,0	0,005	-0,005	9,326
41,1	0,005	-0,003	9,309
41,3	0,003	0,000	9,344
41,4	0,001	0,001	9,309
41,6	0,001	0,000	9,449
41,7	0,002	0,001	9,361
41,8	0,004	0,003	9,449
42,0	0,005	0,003	9,414
42,1	0,005	0,000	9,431
42,3	0,004	-0,002	9,431
42,4	0,004	-0,001	9,449
42,5	0,007	-0,002	9,431
42,7	0,011	-0,008	9,449
42,8	0,013	-0,013	9,449
43,0	0,012	-0,008	9,449
43,1	0,007	0,001	9,449
43,2	0,004	0,002	9,449
43,4	0,004	-0,003	9,449
43,5	0,009	-0,001	9,449
43,6	0,016	0,013	9,449
43,8	0,021	0,018	9,449
43,9	0,020	0,002	9,449
44,1	0,016	-0,015	9,449
44,2	0,013	-0,009	9,449
44,3	0,014	0,010	9,449
44,5	0,020	0,007	9,449
44,6	0,027	-0,022	9,449
44,8	0,030	-0,030	9,449
44,9	0,031	0,004	9,449
45,0	0,032	0,029	9,449
45,2	0,035	-0,002	9,449
45,3	0,042	-0,045	9,449
45,5	0,052	-0,016	9,501
45,6	0,065	0,057	9,466
45,7	0,084	0,043	9,571
45,9	0,117	-0,088	9,466
46,0	0,172	-0,149	9,589
46,1	0,249	0,037	9,536
46,3	0,341	0,321	9,571
46,4	0,434	0,323	9,484
46,6	0,516	-0,086	9,606
46,7	0,575	-0,531	9,606
46,8	0,605	-0,509	9,606
47,0	0,599	-0,007	9,606
47,1	0,553	0,454	9,571
47,3	0,469	0,427	9,606
47,4	0,361	0,038	9,606
47,5	0,257	-0,226	9,606
47,7	0,184	-0,125	9,606
47,8	0,155	0,105	9,606
48,0	0,163	0,135	9,606
48,1	0,181	-0,040	9,606
48,2	0,180	-0,171	9,606
48,4	0,150	-0,114	9,606
48,5	0,101	0,016	9,606
48,6	0,057	0,054	9,606
48,8	0,035	-0,001	9,606
48,9	0,036	-0,035	9,606
49,1	0,045	-0,002	9,606
49,2	0,046	0,038	9,606
49,3	0,035	0,034	9,606
49,5	0,022	0,011	9,606
49,6	0,016	0,013	9,641
49,8	0,024	0,028	9,606
49,9	0,037	0,016	9,676
50,0	0,043	-0,020	9,641
50,2	0,039	-0,036	9,659
50,3	0,026	-0,017	9,641
50,5	0,014	0,007	9,746
50,6	0,010	0,003	9,676
50,7	0,015	-0,017	9,746
50,9	0,021	-0,019	9,746
51,0	0,024	0,002	9,764
51,2	0,022	0,017	9,729
51,3	0,017	0,009	9,764
51,4	0,012	-0,009	9,764
51,6	0,009	-0,012	9,764
51,7	0,008	-0,002	9,764
51,8	0,008	0,002	9,764
52,0	0,010	-0,007	9,764
52,1	0,015	-0,017	9,764
52,3	0,020	-0,012	9,764
52,4	0,024	0,006	9,764
52,5	0,024	0,019	9,764
52,7	0,020	0,019	9,764
52,8	0,014	0,010	9,764
53,0	0,009	0,002	9,764
53,1	0,008	0,001	9,764
53,2	0,010	0,000	9,764
53,4	0,014	-0,006	9,764
53,5	0,019	-0,015	9,764
53,7	0,022	-0,021	9,764
53,8	0,021	-0,017	9,764
53,9	0,017	-0,006	9,764
54,1	0,012	0,005	9,799
54,2	0,007	0,006	9,781
54,3	0,006	-0,002	9,816
54,5	0,008	-0,008	9,781
54,6	0,011	-0,004	9,834
54,8	0,014	0,006	9,799
54,9	0,014	0,012	9,886
55,0	0,010	0,008	9,816
55,2	0,005	0,001	9,904
55,3	0,001	-0,002	9,904
55,5	0,000	0,001	9,921
55,6	0,003	0,001	9,921
55,7	0,006	-0,004	9,921
55,9	0,009	-0,008	9,921
56,0	0,009	-0,004	9,921
56,2	0,007	0,003	9,939
56,3	0,005	0,005	9,921
56,4	0,003	0,001	9,921
56,6	0,004	-0,001	9,921
56,7	0,006	0,003	9,921
56,9	0,008	0,008	9,939
57,0	0,009	0,006	9,921
57,1	0,008	-0,001	9,956
57,3	0,006	-0,006	9,921
57,4	0,004	-0,002	9,974
57,5	0,003	0,003	9,956
57,7	0,006	0,000	9,956
57,8	0,011	-0,010	9,939
58,0	0,016	-0,014	10,009
58,1	0,019	-0,005	9,939
58,2	0,018	0,009	10,079
58,4	0,014	0,014	9,921
58,5	0,008	0,008	9,921
58,7	0,004	0,001	9,921
58,8	0,003	0,000	10,079
58,9	0,005	0,005	10,079
59,1	0,007	0,007	10,079
59,2	0,007	0,003	10,079
59,4	0,005	-0,002	10,079
59,5	0,003	-0,002	10,079
59,6	0,002	-0,001	10,079
59,8	0,004	-0,003	10,079
59,9	0,008	-0,007	10,079
60,0	0,010	-0,008	10,079
60,2	0,010	-0,003	10,079
60,3	0,008	0,004	10,079
60,5	0,005	0,005	10,079
60,6	0,003	0,001	10,079
60,7	0,003	-0,002	10,079
60,9	0,006	0,001	10,079
61,0	0,009	0,006	10,079
61,2	0,010	0,009	10,079
61,3	0,009	0,007	10,079
61,4	0,007	0,001	10,079
61,6	0,004	-0,003	10,114
61,7	0,002	-0,003	10,079
61,9	0,001	-0,001	10,114
62,0	0,001	0,000	10,114
62,1	0,001	0,000	10,131
62,3	0,001	-0,001	10,096
62,4	0,001	-0,001	10,166
62,5	0,001	-0,001	10,114
62,7	0,001	-0,001	10,201
62,8	0,002	-0,001	10,166
63,0	0,002	-0,001	10,236
63,1	0,003	0,000	10,201
63,2	0,004	0,001	10,236
63,4	0,004	0,003	10,236
63,5	0,004	0,004	10,236
63,7	0,003	0,003	10,236
63,8	0,003	0,001	10,236
63,9	0,003	-0,002	10,236
64,1	0,004	-0,002	10,236
64,2	0,005	0,001	10,236
64,4	0,007	0,007	10,236
64,5	0,008	0,008	10,236
64,6	0,009	0,001	10,236
64,8	0,009	-0,007	10,236
64,9	0,009	-0,009	10,236
65,1	0,009	-0,002	10,236
65,2	0,009	0,006	10,236
65,3	0,008	0,008	10,236
65,5	0,006	0,003	10,236
65,6	0,004	-0,002	10,236
65,7	0,003	-0,002	10,236
65,9	0,002	0,001	10,236
66,0	0,002	0,003	10,236
66,2	0,003	0,001	10,236
66,3	0,002	-0,001	10,254
66,4	0,002	-0,002	10,236
66,6	0,001	-0,001	10,341
66,7	0,000	0,000	10,254
66,9	0,001	0,000	10,341
67,0	0,001	-0,001	10,271
67,1	0,002	-0,001	10,341
67,3	0,002	0,000	10,359
67,4	0,003	0,001	10,359
67,6	0,003	0,002	10,376
67,7	0,003	0,003	10,394
67,8	0,003	0,003	10,376
68,0	0,003	0,003	10,394
68,1	0,003	0,002	10,359
68,2	0,002	0,001	10,394
68,4	0,002	0,000	10,394
68,5	0,002	0,000	10,394
68,7	0,001	-0,001	10,394
68,8	0,001	-0,001	10,394
68,9	0,001	-0,001	10,394
69,1	0,000	0,000	10,394
69,2	0,000	0,000	10,394
69,4	0,001	-0,001	10,394
69,5	0,001	-0,001	10,394
69,6	0,001	0,000	10,394
69,8	0,002	0,000	10,394
69,9	0,002	0,001	10,394
70,1	0,002	0,002	10,394
70,2	0,001	0,001	10,394
70,3	0,001	0,001	10,394
70,5	0,001	0,000	10,394
70,6	0,001	0,000	10,394
70,8	0,001	0,000	10,394
70,9	0,001	0,000	10,394
71,0	0,001	-0,001	10,411
71,2	0,001	-0,001	10,394
71,3	0,000	0,000	10,446
71,4	0,000	0,000	10,394
71,6	0,001	-0,001	10,481
71,7	0,001	-0,001	10,429
71,9	0,001	0,000	10,516
72,0	0,002	0,001	10,429
72,1	0,002	0,002	10,551
72,3	0,002	0,001	10,481
72,4	0,001	0,000	10,534
72,6	0,001	0,000	10,551
72,7	0,000	0,000	10,551
72,8	0,000	0,000	10,551
73,0	0,000	0,000	10,551
73,1	0,001	-0,001	10,551
73,3	0,001	-0,001	10,551
73,4	0,001	0,000	10,551
73,5	0,001	0,001	10,551
73,7	0,001	0,001	10,551
73,8	0,001	0,000	10,551
73,9	0,001	0,000	10,551
74,1	0,001	0,000	10,551
74,2	0,001	0,000	10,551
74,4	0,002	0,000	10,551
74,5	0,004	0,002	10,551
74,6	0,005	0,004	10,551
74,8	0,006	0,006	10,534
74,9	0,006	0,005	10,411
75,1	0,005	0,002	10,394
75,2	0,004	-0,001	10,324
75,3	0,002	-0,002	10,079
75,5	0,001	-0,001	7,367
75,6	0,001	0,000	3,150
75,8	0,001	0,000	1,575
75,9	0,001	-0,001	1,085
76,0	0,001	-0,001	0,787
76,2	0,001	0,000	0,595
76,3	0,001	0,000	0,472
76,4	0,001	-0,001	0,315
76,6	0,001	-0,001	0,315
76,7	0,001	0,000	0,210
76,9	0,001	0,000	0,157
77,0	0,001	0,000	0,157
77,1	0,001	-0,001	0,157
77,3	0,001	-0,001	0,122
77,4	0,001	0,000	0,122
77,6	0,001	0,001	0,017
77,7	0,001	0,000	0,087
77,8	0,001	-0,002	0,017
78,0	0,002	0,000	0,000
78,1	0,002	0,002	0,000
78,3	0,002	0,001	0,017
78,4	0,003	-0,002	0,017
78,5	0,003	-0,003	0,035
78,7	0,004	0,002	0,000
78,8	0,004	0,004	0,087
79,0	0,005	0,000	0,017
79,1	0,005	-0,005	0,000
79,2	0,005	-0,002	0,000
79,4	0,006	0,005	0,000
79,5	0,007	0,004	0,000
79,6	0,008	-0,006	0,000
79,8	0,009	-0,008	0,000
79,9	0,010	0,005	0,035
80,1	0,013	0,011	0,000
80,2	0,020	-0,009	0,017
80,3	0,033	-0,033	0,000
80,5	0,051	-0,014	0,000
80,6	0,073	0,052	0,000
80,8	0,095	0,092	0,000
80,9	0,115	0,039	0,000
81,0	0,131	-0,076	0,000
81,2	0,139	-0,140	0,000
81,3	0,139	-0,082	0,000
81,5	0,126	0,037	0,000
81,6	0,102	0,098	0,000
81,7	0,072	0,058	0,000
81,9	0,044	-0,011	0,000
82,0	0,028	-0,024	0,000
82,1	0,027	0,015	0,000
82,3	0,037	0,037	0,000
82,4	0,046	0,008	0,000
82,6	0,047	-0,032	0,000
82,7	0,037	-0,037	0,000
82,8	0,022	-0,011	0,000
83,0	0,011	0,005	0,017
83,1	0,009	-0,004	0,000
83,3	0,015	-0,017	0,000
83,4	0,021	-0,010	0,000
83,5	0,022	0,009	0,035
83,7	0,017	0,016	0,000
83,8	0,009	0,007	0,000
84,0	0,004	-0,001	0,000
84,1	0,004	0,002	0,000
84,2	0,007	0,009	0,000
84,4	0,010	0,008	0,035
84,5	0,010	0,000	0,000
84,7	0,007	-0,005	0,017
84,8	0,003	-0,003	0,000
84,9	0,001	0,001	0,035
85,1	0,001	0,001	0,000
85,2	0,002	-0,001	0,000
85,3	0,003	-0,002	0,000
85,5	0,002	0,000	0,017
85,6	0,001	0,001	0,000
85,8	0,001	0,001	0,000
85,9	0,001	0,000	0,000
86,0	0,001	-0,001	0,000
86,2	0,001	0,000	0,000
86,3	0,001	0,000	0,000
86,5	0,000	0,000	0,000
86,6	0,001	-0,001	0,052
86,7	0,001	-0,001	0,000
86,9	0,002	0,001	0,070
87,0	0,002	0,002	0,000
87,2	0,002	0,002	0,035
87,3	0,001	0,001	0,000
87,4	0,001	0,000	0,000
87,6	0,001	0,000	0,000
87,7	0,001	0,000	0,052
87,8	0,001	0,000	0,000
88,0	0,001	0,000	0,000
88,1	0,001	-0,001	0,000
88,3	0,001	-0,001	0,035
88,4	0,001	-0,001	0,000
88,5	0,001	0,000	0,000
88,7	0,001	0,000	0,000
88,8	0,001	0,000	0,035
89,0	0,001	0,000	0,000
89,1	0,001	0,001	0,000
89,2	0,001	0,001	0,000
89,4	0,001	0,001	0,017
89,5	0,001	0,000	0,000
89,7	0,000	0,000	0,017
89,8	0,000	0,000	0,000
89,9	0,000	0,000	0,035
90,1	0,000	0,000	0,000
90,2	0,000	0,000	0,017
90,3	0,001	0,000	0,000
90,5	0,001	-0,001	0,017
90,6	0,001	-0,001	0,000
90,8	0,002	-0,001	0,000
90,9	0,002	0,001	0,000
91,0	0,002	0,002	0,017
91,2	0,002	0,002	0,000
91,3	0,001	0,001	0,000
91,5	0,001	0,000	0,000
91,6	0,001	0,000	0,000
91,7	0,000	0,000	0,000
91,9	0,000	0,000	0,000
92,0	0,000	0,000	0,000
92,2	0,000	0,000	0,017
92,3	0,000	0,000	0,000
92,4	0,000	0,000	0,017
92,6	0,000	0,000	0,000
92,7	0,000	0,000	0,035
92,9	0,000	0,000	0,000
93,0	0,000	0,000	0,000
93,1	0,000	0,000	0,000
93,3	0,001	0,000	0,017
93,4	0,001	0,000	0,000
93,5	0,001	0,000	0,000
93,7	0,002	0,001	0,000
93,8	0,002	0,002	0,000
94,0	0,002	0,001	0,000
94,1	0,002	0,000	0,017
94,2	0,001	-0,001	0,000
94,4	0,001	-0,001	0,017
94,5	0,001	0,000	0,000
94,7	0,000	0,000	0,000
94,8	0,000	0,000	0,000
94,9	0,000	0,000	0,017
95,1	0,000	0,000	0,000
95,2	0,000	0,000	0,000
95,4	0,000	0,000	0,000
95,5	0,001	0,001	0,000
95,6	0,001	0,001	0,000
95,8	0,001	0,000	0,035
95,9	0,001	0,000	0,000
96,0	0,000	0,000	0,035
96,2	0,000	0,000	0,000
96,3	0,000	0,000	0,052
96,5	0,000	0,000	0,000
96,6	0,000	0,000	0,052
96,7	0,000	0,000	0,000
96,9	0,000	0,000	0,017
97,0	0,000	0,000	0,000
97,2	0,000	0,000	0,017
97,3	0,000	0,000	0,000
97,4	0,000	0,000	0,035
97,6	0,000	0,000	0,000
97,7	0,000	0,000	0,000
97,9	0,000	0,000	0,000
98,0	0,000	0,000	0,000
98,1	0,000	0,000	0,000
98,3	0,000	0,000	0,000
98,4	0,000	0,000	0,000
98,6	0,000	0,000	0,017
98,7	0,000	0,000	0,000
98,8	0,000	0,000	0,035
99,0	0,000	0,000	0,000
99,1	0,000	0,000	0,017
99,2	0,000	0,000	0,000
